Form,Exp,Geozone,Date,STemp,BTemp,BTime,Start,Visib,AvgDepth,MaxDepth,Current,Habitat,Species_ID,Family_ID,Abundance,English_Name,Scientific,Family_Name,Site_Name,Latitude,Longitude
17202,N,52020008,1995-07-26,84,84,63,11,6,3,0,1,2,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
17203,N,52020007,1995-07-27,84,84,64,11,5,6,0,2,4,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
17203,N,52020007,1995-07-27,84,84,64,11,5,6,0,2,4,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
17203,N,52020007,1995-07-27,84,84,64,11,5,6,0,2,4,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
17208,N,52020005,1995-07-25,87,83,70,14,6,2,0,2,2,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
17209,N,52020006,1995-07-25,84,84,63,11,6,4,0,1,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Chimney,19.684,-80.08316666666667
17209,N,52020006,1995-07-25,84,84,63,11,6,4,0,1,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Chimney,19.684,-80.08316666666667
17209,N,52020006,1995-07-25,84,84,63,11,6,4,0,1,2,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Chimney,19.684,-80.08316666666667
20910,N,52020000,1994-07-18,0,0,60,13,5,6,0,1,4,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,NA,NA,NA
20910,N,52020000,1994-07-18,0,0,60,13,5,6,0,1,4,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,NA,NA,NA
25356,N,52020000,1997-03-07,0,0,75,0,0,0,0,0,0,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,NA,NA,NA
25356,N,52020000,1997-03-07,0,0,75,0,0,0,0,0,0,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,NA,NA,NA
25356,N,52020000,1997-03-07,0,0,75,0,0,0,0,0,0,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,NA,NA,NA
25356,N,52020000,1997-03-07,0,0,75,0,0,0,0,0,0,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,NA,NA,NA
26550,E,52020005,1997-01-24,78,78,49,9,5,7,0,2,5,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
26550,E,52020005,1997-01-24,78,78,49,9,5,7,0,2,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
26551,E,52020001,1997-01-24,78,78,58,11,5,5,0,3,5,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
26551,E,52020001,1997-01-24,78,78,58,11,5,5,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
28850,E,52020001,1997-01-24,80,80,57,11,4,7,0,3,5,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
28850,E,52020001,1997-01-24,80,80,57,11,4,7,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
28851,E,52020005,1997-01-24,80,80,50,9,4,10,0,3,5,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
28851,E,52020005,1997-01-24,80,80,50,9,4,10,0,3,5,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
28851,E,52020005,1997-01-24,80,80,50,9,4,10,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
28979,N,52020008,1997-07-15,92,84,44,9,6,9,0,3,5,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
28979,N,52020008,1997-07-15,92,84,44,9,6,9,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
28980,N,52020000,1997-07-15,92,84,51,11,6,6,0,3,1,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,NA,NA,NA
28980,N,52020000,1997-07-15,92,84,51,11,6,6,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,NA,NA,NA
29273,N,52020045,1999-08-09,86,86,46,14,5,7,0,3,2,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Paradise Plunge,19.672333333333334,-80.103
29273,N,52020045,1999-08-09,86,86,46,14,5,7,0,3,2,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Paradise Plunge,19.672333333333334,-80.103
29274,N,52020034,1999-08-11,86,86,49,9,5,7,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
29275,N,52020030,1999-08-10,86,86,48,9,5,7,0,3,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29275,N,52020030,1999-08-10,86,86,48,9,5,7,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29276,N,52020043,1999-08-10,87,86,55,14,5,6,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jigsaw Puzzle,19.666,-80.10666666666667
29277,N,52020008,1999-08-11,86,86,59,11,4,5,0,3,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29277,N,52020008,1999-08-11,86,86,59,11,4,5,0,3,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29277,N,52020008,1999-08-11,86,86,59,11,4,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29277,N,52020008,1999-08-11,86,86,59,11,4,5,0,3,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29278,N,52020027,1999-08-09,86,86,55,11,5,5,0,3,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
29278,N,52020027,1999-08-09,86,86,55,11,5,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
29279,N,52020022,1999-08-11,86,86,55,14,4,6,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
29279,N,52020022,1999-08-11,86,86,55,14,4,6,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
29280,N,52020007,1999-08-09,86,86,52,9,5,6,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
29281,N,52020041,1999-08-08,88,86,55,15,5,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Bush Gardens,19.6715,-80.1035
29282,N,52020012,1999-08-08,87,86,55,10,5,6,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29282,N,52020012,1999-08-08,87,86,55,10,5,6,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29284,N,52020007,1998-12-25,81,81,54,9,5,7,0,3,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Cumber's Caves / Cumber's Cove,19.6895,-80.07
29285,N,52020022,1998-12-25,81,81,53,11,5,6,0,3,1,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
29285,N,52020022,1998-12-25,81,81,53,11,5,6,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
29286,N,52020037,1998-12-24,81,81,59,11,5,5,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Donna's Delight/Black Coral Forest,19.684333333333335,-80.08066666666667
29288,N,52020009,1998-12-22,81,81,53,11,4,6,0,3,1,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Soto Trader,19.655166666666666,-80.08266666666667
29289,N,52020066,1998-12-22,81,81,53,9,5,7,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Dynamite Dropoff,19.655166666666666,-80.096
29289,N,52020066,1998-12-22,81,81,53,9,5,7,0,2,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Dynamite Dropoff,19.655166666666666,-80.096
29290,N,52020008,1998-12-21,0,0,55,11,5,5,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29290,N,52020008,1998-12-21,0,0,55,11,5,5,0,2,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29291,N,52020001,1998-12-21,81,81,53,9,5,7,0,3,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
29292,N,52020034,1998-12-20,81,81,54,9,5,7,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
29292,N,52020034,1998-12-20,81,81,54,9,5,7,0,3,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
29293,N,52020012,1998-12-20,83,83,54,11,5,6,0,2,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29293,N,52020012,1998-12-20,83,83,54,11,5,6,0,2,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29293,N,52020012,1998-12-20,83,83,54,11,5,6,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29326,N,52020001,1996-12-24,0,0,59,15,5,5,0,3,1,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
29326,N,52020001,1996-12-24,0,0,59,15,5,5,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
29326,N,52020001,1996-12-24,0,0,59,15,5,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
29327,N,52020005,1996-12-26,0,0,58,15,5,6,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
29327,N,52020005,1996-12-26,0,0,58,15,5,6,0,3,1,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
29328,N,52020000,1996-12-27,0,0,51,9,5,7,0,3,1,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,NA,NA,NA
29328,N,52020000,1996-12-27,0,0,51,9,5,7,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,NA,NA,NA
29329,N,52020010,1996-12-27,0,0,58,11,4,5,0,0,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Gay's Reef,19.6575,-80.09366666666666
29330,N,52020030,1996-12-27,0,0,54,15,5,6,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29330,N,52020030,1996-12-27,0,0,54,15,5,6,0,2,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29331,N,52020012,1996-12-28,0,0,57,9,6,7,0,2,5,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29331,N,52020012,1996-12-28,0,0,57,9,6,7,0,2,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29331,N,52020012,1996-12-28,0,0,57,9,6,7,0,2,5,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
29332,N,52020027,1996-12-28,0,0,60,11,6,6,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
29332,N,52020027,1996-12-28,0,0,60,11,6,6,0,2,1,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
29336,N,52020030,1996-12-23,0,0,40,11,5,7,0,2,1,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29336,N,52020030,1996-12-23,0,0,40,11,5,7,0,2,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29336,N,52020030,1996-12-23,0,0,40,11,5,7,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
29337,N,52020034,1996-12-23,79,77,45,9,4,7,0,2,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
29337,N,52020034,1996-12-23,79,77,45,9,4,7,0,2,1,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
29338,N,52020038,1996-12-25,0,0,52,10,5,8,0,3,5,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Randy's Gazebo,19.683666666666667,-80.08333333333333
29338,N,52020038,1996-12-25,0,0,52,10,5,8,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Randy's Gazebo,19.683666666666667,-80.08333333333333
29339,N,52020037,1996-12-25,0,0,62,11,5,5,0,3,5,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Donna's Delight/Black Coral Forest,19.684333333333335,-80.08066666666667
29339,N,52020037,1996-12-25,0,0,62,11,5,5,0,3,5,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Donna's Delight/Black Coral Forest,19.684333333333335,-80.08066666666667
29339,N,52020037,1996-12-25,0,0,62,11,5,5,0,3,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Donna's Delight/Black Coral Forest,19.684333333333335,-80.08066666666667
29341,N,52020008,1996-12-26,0,0,60,11,5,5,0,2,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
29341,N,52020008,1996-12-26,0,0,60,11,5,5,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
31733,N,52020012,1996-09-16,82,82,55,12,5,7,0,2,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
31733,N,52020012,1996-09-16,82,82,55,12,5,7,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
31733,N,52020012,1996-09-16,82,82,55,12,5,7,0,2,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Coconut Walk,19.680833333333332,-80.09033333333333
31736,N,52020038,1996-09-16,82,82,50,10,6,9,0,2,1,6,53,1,Rock Beauty,Holacanthus tricolor,Angelfish,Randy's Gazebo,19.683666666666667,-80.08333333333333
31736,N,52020038,1996-09-16,82,82,50,10,6,9,0,2,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Randy's Gazebo,19.683666666666667,-80.08333333333333
35216,N,52020004,1995-09-08,86,86,55,10,7,11,0,3,5,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Mike's Mountain,19.6925,-80.069
35216,N,52020004,1995-09-08,86,86,55,10,7,11,0,3,5,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Mike's Mountain,19.6925,-80.069
35216,N,52020004,1995-09-08,86,86,55,10,7,11,0,3,5,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Mike's Mountain,19.6925,-80.069
35217,N,52020001,1994-09-08,86,86,60,20,7,5,0,3,6,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
35217,N,52020001,1994-09-08,86,86,60,20,7,5,0,3,6,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
35218,N,52020008,1995-09-11,87,87,49,9,7,12,0,2,5,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
35218,N,52020008,1995-09-11,87,87,49,9,7,12,0,2,5,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
35218,N,52020008,1995-09-11,87,87,49,9,7,12,0,2,5,6,53,3,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
35219,N,52020001,1995-09-09,87,87,60,8,5,5,0,3,6,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
35220,N,52020003,1995-09-12,87,87,66,11,6,8,0,2,5,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Barracuda Bite,19.68,-80.09166666666667
35220,N,52020003,1995-09-12,87,87,66,11,6,8,0,2,5,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Barracuda Bite,19.68,-80.09166666666667
35220,N,52020003,1995-09-12,87,87,66,11,6,8,0,2,5,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Barracuda Bite,19.68,-80.09166666666667
35220,N,52020003,1995-09-12,87,87,66,11,6,8,0,2,5,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Barracuda Bite,19.68,-80.09166666666667
36417,N,52020001,1995-12-23,0,0,51,10,5,5,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
36417,N,52020001,1995-12-23,0,0,51,10,5,5,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
36419,N,52020025,1995-12-24,0,0,52,9,5,6,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Black Hole,19.656166666666667,-80.09216666666667
36419,N,52020025,1995-12-24,0,0,52,9,5,6,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Black Hole,19.656166666666667,-80.09216666666667
36420,N,52020024,1995-12-24,0,0,57,11,4,6,0,3,2,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Pirate's Point Reef,19.653666666666666,-80.09366666666666
36421,N,52020009,1995-12-24,0,0,40,15,5,6,0,2,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Soto Trader,19.655166666666666,-80.08266666666667
36421,N,52020009,1995-12-24,0,0,40,15,5,6,0,2,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Soto Trader,19.655166666666666,-80.08266666666667
36422,N,52020006,1995-12-25,0,0,47,9,5,6,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Chimney,19.684,-80.08316666666667
36423,N,52020028,1995-12-25,0,0,45,11,4,6,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Grundy's Gardens,19.657166666666665,-80.08983333333333
36424,N,52020029,1995-12-27,0,0,60,15,5,5,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Windsock,19.657666666666668,-80.09133333333334
36425,N,52020030,1995-12-20,0,0,55,9,5,6,0,3,2,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
36425,N,52020030,1995-12-20,0,0,55,9,5,6,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Lea Lea's Lookout,19.6815,-80.08883333333333
36426,N,52020003,1995-12-27,0,0,50,11,4,5,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Barracuda Bite,19.68,-80.09166666666667
36426,N,52020003,1995-12-27,0,0,50,11,4,5,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Barracuda Bite,19.68,-80.09166666666667
36427,N,52020001,1995-12-28,0,0,50,9,5,6,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Jackson's Reef,19.690666666666665,-80.06916666666666
36428,N,52020027,1995-12-27,0,0,50,15,4,5,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
36428,N,52020027,1995-12-27,0,0,50,15,4,5,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
36429,N,52020026,1995-12-28,0,0,60,11,3,5,0,3,2,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Meadow's,19.6925,-80.06866666666667
36429,N,52020026,1995-12-28,0,0,60,11,3,5,0,3,2,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Meadow's,19.6925,-80.06866666666667
36429,N,52020026,1995-12-28,0,0,60,11,3,5,0,3,2,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Meadow's,19.6925,-80.06866666666667
40168,N,52020005,1996-09-19,82,82,60,12,5,7,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
40168,N,52020005,1996-09-19,82,82,60,12,5,7,0,3,1,3,53,1,French Angelfish,Pomacanthus paru,Angelfish,Sarah's Set,19.687333333333335,-80.07266666666666
40169,N,52020027,1996-09-20,82,82,57,10,6,9,0,3,1,5,53,2,Queen Angelfish,Holacanthus ciliaris,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
40169,N,52020027,1996-09-20,82,82,57,10,6,9,0,3,1,4,53,2,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
40170,N,52020008,1996-09-20,83,82,64,12,5,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,The Great Wall (Sheer Wall- East and West),19.682283333333334,-80.08556666666667
40175,N,52020034,1996-09-08,82,82,50,9,6,9,0,3,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
40175,N,52020034,1996-09-08,82,82,50,9,6,9,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Bus Stop,19.686533333333333,-80.06931666666667
50023,E,52020022,1997-10-04,84,84,60,11,5,4,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
50023,E,52020022,1997-10-04,84,84,60,11,5,4,0,3,1,3,53,2,French Angelfish,Pomacanthus paru,Angelfish,Joy's Joy,19.678833333333333,-80.09316666666666
50024,E,52020027,1997-10-04,84,84,60,15,5,5,0,3,1,4,53,1,Gray Angelfish,Pomacanthus arcuatus,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
50024,E,52020027,1997-10-04,84,84,60,15,5,5,0,3,1,5,53,1,Queen Angelfish,Holacanthus ciliaris,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
50024,E,52020027,1997-10-04,84,84,60,15,5,5,0,3,1,6,53,2,Rock Beauty,Holacanthus tricolor,Angelfish,Marilynn's Cut (Great Gash),19.684666666666665,-80.07916666666667
